user;municipality;type;class;category;typology;voltage_level
bta1_1;pinerolo;bta;bta1;office;estate_agency;220
bta1_10;pinerolo;bta;bta1;cultural_and_sports;association;220
bta1_2;pinerolo;bta;bta1;residential;multifamily_building;220
bta1_3;pinerolo;bta;bta1;office;business;380
bta1_4;pinerolo;bta;bta1;residential;multifamily_building;220
bta1_5;pinerolo;bta;bta1;;;220
bta1_6;pinerolo;bta;bta1;residential;multifamily_building;220
bta1_7;pinerolo;bta;bta1;office;medical_practice;220
bta1_8;pinerolo;bta;bta1;residential;multifamily_building;220
bta1_9;pinerolo;bta;bta1;cultural_and_sports;association;220
bta1_c1;;bta;bta1;cultural_and_sports;sports_center;220
bta1_c2;;bta;bta1;municipal;city_hall;220
bta1_c3;;bta;bta1;municipal;city_hall;220
bta2_1;pinerolo;bta;bta2;commercial;commercial_activity;220
bta2_10;pinerolo;bta;bta2;commercial;rental_agency;220
bta2_2;pinerolo;bta;bta2;office;consultancy_agency;220
bta2_3;pinerolo;bta;bta2;office;estate_agency;220
bta2_4;pinerolo;bta;bta2;office;estate_agency;220
bta2_5;pinerolo;bta;bta2;commercial;haidresser_salon;220
bta2_6;pinerolo;bta;bta2;office;medical_practice;220
bta2_7;pinerolo;bta;bta2;office;consultancy_agency;220
bta2_8;pinerolo;bta;bta2;office;medical_practice;220
bta2_9;pinerolo;bta;bta2;office;law_practice;220
bta2_c1;;bta;bta2;cultural_and_sports;church;220
bta2_c2;;bta;bta2;cultural_and_sports;association;220
bta2_c3;;bta;bta2;municipal;school;220
bta2_c4;;bta;bta2;cultural_and_sports;association;220
bta2_c5;;bta;bta2;municipal;city_hall;220
bta2_c6;;bta;bta2;cultural_and_sports;museum;220
bta2_c7;;bta;bta2;cultural_and_sports;museum;220
bta3_1;pinerolo;bta;bta3;office;consultancy_agency;220
bta3_10;pinerolo;bta;bta3;commercial;restaurant;380
bta3_2;pinerolo;bta;bta3;commercial;restaurant;220
bta3_3;pinerolo;bta;bta3;commercial;commercial_activity;220
bta3_4;pinerolo;bta;bta3;commercial;restaurant;380
bta3_5;pinerolo;bta;bta3;commercial;commercial_activity;380
bta3_6;pinerolo;bta;bta3;commercial;commercial_activity;220
bta3_7;pinerolo;bta;bta3;cultural_and_sports;association;380
bta3_8;pinerolo;bta;bta3;commercial;commercial_activity;380
bta3_9;pinerolo;bta;bta3;commercial;bakery;380
bta3_c1;;bta;bta3;municipal;city_hall;220
bta3_c2;;bta;bta3;cultural_and_sports;museum;220
bta3_c3;;bta;bta3;municipal;city_hall;380
bta4_1;pinerolo;bta;bta4;commercial;commercial_activity;380
bta4_10;pinerolo;bta;bta4;residential;multifamily_building;380
bta4_2;pinerolo;bta;bta4;residential;multifamily_building;380
bta4_3;pinerolo;bta;bta4;residential;multifamily_building;380
bta4_4;pinerolo;bta;bta4;residential;multifamily_building;380
bta4_5;pinerolo;bta;bta4;residential;multifamily_building;380
bta4_6;pinerolo;bta;bta4;commercial;bar;380
bta4_7;pinerolo;bta;bta4;residential;multifamily_building;380
bta4_8;pinerolo;bta;bta4;commercial;bar;380
bta4_9;pinerolo;bta;bta4;residential;multifamily_building;380
bta4_c1;;bta;bta4;municipal;city_hall;380
bta4_c2;;bta;bta4;cultural_and_sports;sports_court;380
bta5_1;pinerolo;bta;bta5;office;medical_practice;380
bta5_10;pinerolo;bta;bta5;commercial;laundry;380
bta5_2;pinerolo;bta;bta5;residential;multifamily_building;380
bta5_3;pinerolo;bta;bta5;commercial;bar;380
bta5_4;pinerolo;bta;bta5;cultural_and_sports;association;380
bta5_5;pinerolo;bta;bta5;commercial;pastry_shop;380
bta5_6;pinerolo;bta;bta5;cultural_and_sports;association;380
bta5_7;pinerolo;bta;bta5;office;medical_practice;380
bta5_8;pinerolo;bta;bta5;office;agency;380
bta5_9;pinerolo;bta;bta5;commercial;restaurant;380
bta5_c1;;bta;bta5;cultural_and_sports;association;380
bta6_1;pinerolo;bta;bta6;office;medical_practice;380
bta6_2;pinerolo;bta_sc;bta6;residential;multifamily_building;380
bta6_3;pinerolo;bta;bta6;commercial;restaurant;380
bta6_4;pinerolo;bta;bta6;commercial;restaurant;380
bta6_5;pinerolo;bta;bta6;commercial;bar;380
bta6_c1;;bta;bta6;municipal;school;380
bta6_c2;;bta;bta6;cultural_and_sports;sports_court;380
bta6_c3;;bta;bta6;cultural_and_sports;association;380
bta6_c4;;bta;bta6;municipal;city_hall;380
bta6_c5;;bta;bta6;cultural_and_sports;association;380
bta6_c6;;bta;bta6;municipal;school;380
bta6_c7;;bta;bta6;municipal;city_hall;380
bta6l_1;pinerolo;bta;bta6L;office;consultancy_agency;380
bta6l_2;pinerolo;bta;bta6L;office;consultancy_agency;380
bta6l_3;pinerolo;bta;bta6L;commercial;restaurant;380
bta6l_4;pinerolo;bta;bta6L;commercial;restaurant;380
bta6l_5;pinerolo;bta;bta6L;commercial;pharmacy;380
bta6l_c1;;bta;bta6L;municipal;school;380
dom1_1;pinerolo;dom;dom1;residential;household;220
dom2_1;pinerolo;dom;dom2;residential;household;220
dom2_10;pinerolo;dom;dom2;residential;household;220
dom2_2;pinerolo;dom;dom2;residential;household;220
dom2_3;pinerolo;dom;dom2;residential;household;220
dom2_4;pinerolo;dom;dom2;residential;household;220
dom2_5;pinerolo;dom;dom2;residential;household;220
dom2_6;pinerolo;dom;dom2;residential;household;220
dom2_7;pinerolo;dom;dom2;residential;household;220
dom2_8;pinerolo;dom;dom2;residential;household;220
dom2_9;pinerolo;dom;dom2;residential;household;220
dom3_1;pinerolo;dom;dom3;residential;household;220
dom3_10;pinerolo;dom;dom3;residential;household;220
dom3_2;pinerolo;dom;dom3;residential;household;220
dom3_3;pinerolo;dom;dom3;residential;household;220
dom3_4;pinerolo;dom;dom3;residential;household;220
dom3_5;pinerolo;dom;dom3;residential;household;220
dom3_6;pinerolo;dom;dom3;residential;household;220
dom3_7;pinerolo;dom;dom3;residential;household;220
dom3_8;pinerolo;dom;dom3;residential;household;220
dom3_9;pinerolo;dom;dom3;residential;household;220
dom4_1;pinerolo;dom;dom4;residential;household;220
dom4_10;pinerolo;dom;dom4;residential;household;220
dom4_2;pinerolo;dom;dom4;residential;household;220
dom4_3;pinerolo;dom;dom4;residential;household;220
dom4_4;pinerolo;dom;dom4;residential;household;220
dom4_5;pinerolo;dom;dom4;residential;household;220
dom4_6;pinerolo;dom;dom4;residential;household;220
dom4_7;pinerolo;dom;dom4;residential;household;220
dom4_8;pinerolo;dom;dom4;residential;household;220
dom4_9;pinerolo;dom;dom4;residential;household;220
mta1_1;frossasco;mta;mta1;;;15000
mta1_2;sestriere;mta;mta1;;;15000
mta1_3;san secondo di pinerolo;mta;mta1;;;15000
mta1_4;chieri;mta;mta1;;;15000
mta2_1;marene;mta;mta2;;;15000
mta2_2;buriasco;mta;mta2;;;15000
mta2_3;la loggia;mta;mta2;;;15000
mta2_4;roletto;mta;mta2;;;15000
mta2_5;roletto;mta;mta2;;;15000
